filename,answer,level,trick,label
dog_001_shiba.webp,dog,1,1,柴犬
not_001_shokupan.webp,not,1,1,食パン
dog_002_golden.webp,dog,1,1,ゴールデン
not_002_neko.webp,not,1,1,猫
dog_003_pug.webp,dog,1,1,パグ
not_003_kutsushita.webp,not,1,1,靴下
dog_004_dachs.webp,dog,1,1,ダックス
not_004_saboten.webp,not,1,1,サボテン
dog_005_akita.webp,dog,1,2,秋田犬
not_005_kuma_nuigurumi.webp,not,1,2,クマのぬいぐるみ
dog_006_border.webp,dog,1,1,ボーダーコリー
not_006_mop.webp,not,1,2,モップ
dog_007_poodle.webp,dog,2,2,トイプードル
not_007_kitsune.webp,not,2,2,キツネ
dog_008_chihuahua.webp,dog,2,2,チワワ
not_008_hitsuji.webp,not,2,2,ヒツジ
dog_009_samoyed.webp,dog,2,2,サモエド
not_009_wataame.webp,not,2,2,綿あめ
dog_010_bichon.webp,dog,2,3,ビションフリーゼ
not_010_daifuku.webp,not,2,2,大福
dog_011_husky.webp,dog,2,1,ハスキー
not_011_ookami.webp,not,2,3,オオカミ
dog_012_papillon.webp,dog,2,2,パピヨン
not_012_fur_bag.webp,not,2,2,ファー付きバッグ
dog_013_teacup_poodle.webp,dog,3,3,ティーカッププードル
not_013_karaage.webp,not,3,3,唐揚げ
dog_014_choco_dachs.webp,dog,3,2,チョコダックス
not_014_anpan.webp,not,3,3,あんぱん
dog_015_shiba_puppy.webp,dog,3,2,柴犬の子犬
not_015_taiyaki.webp,not,3,3,たい焼き
dog_016_chow.webp,dog,3,3,チャウチャウ
not_016_korokke.webp,not,3,3,コロッケ
dog_017_pomeranian.webp,dog,3,3,ポメラニアン
not_017_monburan.webp,not,3,3,モンブラン
dog_018_labrador.webp,dog,3,2,ラブラドール
not_018_kuma_no_ko.webp,not,3,3,子グマ
dog_019_shiba_oshiri.webp,dog,4,3,柴犬の尻
not_019_momo.webp,not,4,3,桃
dog_020_corgi_oshiri.webp,dog,4,2,コーギーの尻
not_020_shokupan_mimi.webp,not,4,3,食パンの耳
dog_021_pug_oshiri.webp,dog,4,3,パグの尻
not_021_manju.webp,not,4,3,まんじゅう
dog_022_poodle_oshiri.webp,dog,4,3,プードルの尻
not_022_ushi_oshiri.webp,not,4,3,牛の尻
dog_023_samoyed_oshiri.webp,dog,4,3,サモエドの尻
not_023_marshmallow.webp,not,4,3,マシュマロ
dog_024_husky_oshiri.webp,dog,4,2,ハスキーの尻
not_024_neko_oshiri.webp,not,4,3,猫の尻
dog_025_karaage_poodle.webp,dog,5,3,唐揚げ色のプードル
not_025_karaage_zoom.webp,not,5,3,唐揚げ(接写)
dog_026_komondor.webp,dog,5,3,コモンドール
not_026_mop_zoom.webp,not,5,3,モップ(接写)
dog_027_shiba_blur.webp,dog,5,3,柴犬(ブレ)
not_027_kitsune_blur.webp,not,5,3,キツネ(ブレ)
dog_028_bichon_zoom.webp,dog,5,3,ビション(接写)
not_028_wataame_zoom.webp,not,5,3,綿あめ(接写)
dog_029_chow_zoom.webp,dog,5,3,チャウチャウ(接写)
not_029_kuma_no_ko_zoom.webp,not,5,3,子グマ(接写)
dog_030_dachs_dark.webp,dog,5,3,ダックス(暗所)
not_030_anpan_dark.webp,not,5,3,あんぱん(暗所)
